Date,Open,High,Low,Close,Volume
2014-01-17,551.48,552.07,539.9,540.67,15489527.0
2014-01-16,554.9,556.85,551.68,554.25,8210190.0
2014-01-15,553.52,560.2,551.66,557.36,14067517.0
2014-01-14,538.22,546.73,537.66,546.39,11962053.0
2014-01-13,529.91,542.5,529.88,535.73,13551549.0
2014-01-10,539.83,540.8,531.11,532.94,10902952.0
2014-01-09,546.8,546.86,535.35,536.52,9986457.0
2014-01-08,538.81,545.56,538.69,543.46,9240955.0
2014-01-07,544.32,545.96,537.92,540.04,11347538.0
2014-01-06,537.45,546.8,533.6,543.93,14765593.0
2014-01-03,552.86,553.7,540.43,540.98,14043410.0
2014-01-02,555.68,557.03,552.02,553.13,8398851.0
2013-12-31,554.17,561.28,554.0,561.02,7974196.0
2013-12-30,557.46,560.09,552.32,554.52,9058246.0
2013-12-27,563.82,564.41,559.5,560.09,8067331.0
2013-12-26,568.1,569.5,563.38,563.9,7286005.0
2013-12-24,569.89,571.88,566.03,567.67,5984105.0
2013-12-23,568.0,570.72,562.76,570.09,17903833.0
2013-12-20,545.34,551.61,544.82,549.02,15586205.0
2013-12-19,548.65,550.0,543.73,544.46,11462767.0
2013-12-18,547.46,551.45,538.8,550.77,20209401.0
2013-12-17,555.7,559.44,553.38,554.99,8210807.0
2013-12-16,555.61,562.64,555.01,557.5,10092636.0
2013-12-13,562.39,562.88,553.67,554.43,11886469.0
2013-12-12,562.69,565.34,560.03,560.54,9367474.0
2013-12-11,567.04,570.97,559.69,561.36,12847099.0
2013-12-10,563.64,567.88,561.2,565.55,9938230.0
2013-12-09,560.95,569.58,560.9,566.43,11446219.0
2013-12-06,565.79,566.75,559.57,560.02,12298336.0
2013-12-05,572.65,575.14,566.41,567.9,15985045.0
2013-12-04,565.5,569.19,560.82,565.0,13493238.0
2013-12-03,558.3,566.38,557.68,566.32,16105962.0
2013-12-02,558.0,564.33,550.82,551.23,16876555.0
2013-11-29,549.48,558.33,547.81,556.07,11361745.0
2013-11-27,536.31,546.0,533.4,545.96,12980263.0
2013-11-26,524.12,536.14,524.0,533.4,14335104.0
2013-11-25,521.02,525.87,521.0,523.74,8192629.0
2013-11-22,519.52,522.16,518.53,519.8,7990176.0
